scenario,passive_features,feature,vfl_accuracy,am_accuracy,confidence_mse,logit_mse,half_star_mse,half_star_real_c_mse,attack_gap,attack_gap_percent,weight,abs_weight,feature_mse,feature_variance,feature_std,feature_nrmse
1,"age, job, marital, education, default",age,0.9008,0.8991,0.0003,0.0368,0.1312,0.1214,0.0098,8.0513,0.2989,0.2989,0.0424,0.0166,0.1287,1.6011
1,"age, job, marital, education, default",job,0.9008,0.8991,0.0003,0.0368,0.1312,0.1214,0.0098,8.0513,0.4047,0.4047,0.0978,0.0388,0.1969,1.5889
1,"age, job, marital, education, default",marital,0.9008,0.8991,0.0003,0.0368,0.1312,0.1214,0.0098,8.0513,0.1608,0.1608,0.1834,0.1269,0.3563,1.2020
1,"age, job, marital, education, default",education,0.9008,0.8991,0.0003,0.0368,0.1312,0.1214,0.0098,8.0513,0.4431,0.4431,0.0540,0.0226,0.1504,1.5458
1,"age, job, marital, education, default",default,0.9008,0.8991,0.0003,0.0368,0.1312,0.1214,0.0098,8.0513,0.5272,0.5272,0.2783,0.0595,0.2439,2.1628
2,"job, marital, education, default, housing",job,0.9008,0.8989,0.0003,0.0368,0.1647,0.1536,0.0111,7.2163,0.4047,0.4047,0.1130,0.0388,0.1969,1.7075
2,"job, marital, education, default, housing",marital,0.9008,0.8989,0.0003,0.0368,0.1647,0.1536,0.0111,7.2163,0.1608,0.1608,0.1865,0.1269,0.3563,1.2120
2,"job, marital, education, default, housing",education,0.9008,0.8989,0.0003,0.0368,0.1647,0.1536,0.0111,7.2163,0.4431,0.4431,0.0660,0.0226,0.1504,1.7091
2,"job, marital, education, default, housing",default,0.9008,0.8989,0.0003,0.0368,0.1647,0.1536,0.0111,7.2163,0.5272,0.5272,0.2440,0.0595,0.2439,2.0252
2,"job, marital, education, default, housing",housing,0.9008,0.8989,0.0003,0.0368,0.1647,0.1536,0.0111,7.2163,-0.0124,0.0124,0.2137,0.2096,0.4578,1.0098
3,"marital, education, default, housing, loan",marital,0.9008,0.8998,0.0002,0.0250,0.1826,0.1726,0.0100,5.7941,0.1608,0.1608,0.1999,0.1269,0.3563,1.2549
3,"marital, education, default, housing, loan",education,0.9008,0.8998,0.0002,0.0250,0.1826,0.1726,0.0100,5.7941,0.4431,0.4431,0.1092,0.0226,0.1504,2.1974
3,"marital, education, default, housing, loan",default,0.9008,0.8998,0.0002,0.0250,0.1826,0.1726,0.0100,5.7941,0.5272,0.5272,0.1653,0.0595,0.2439,1.6669
3,"marital, education, default, housing, loan",housing,0.9008,0.8998,0.0002,0.0250,0.1826,0.1726,0.0100,5.7941,-0.0124,0.0124,0.2141,0.2096,0.4578,1.0106
3,"marital, education, default, housing, loan",loan,0.9008,0.8998,0.0002,0.0250,0.1826,0.1726,0.0100,5.7941,-0.0261,0.0261,0.2244,0.0938,0.3062,1.5471
4,"education, default, housing, loan, contact",education,0.9008,0.8997,0.0011,0.1408,0.1739,0.1526,0.0213,13.9488,0.4431,0.4431,0.1430,0.0226,0.1504,2.5150
4,"education, default, housing, loan, contact",default,0.9008,0.8997,0.0011,0.1408,0.1739,0.1526,0.0213,13.9488,0.5272,0.5272,0.1402,0.0595,0.2439,1.5351
4,"education, default, housing, loan, contact",housing,0.9008,0.8997,0.0011,0.1408,0.1739,0.1526,0.0213,13.9488,-0.0124,0.0124,0.2144,0.2096,0.4578,1.0114
4,"education, default, housing, loan, contact",loan,0.9008,0.8997,0.0011,0.1408,0.1739,0.1526,0.0213,13.9488,-0.0261,0.0261,0.2263,0.0938,0.3062,1.5536
